,report_id,effective_date,report_type,zn_price_usd_dmt,reported_zinc_price_rolling_40_mean,reported_zinc_price_rolling_40_std,reported_zinc_price_upper_1STD,reported_zinc_price_lower_1STD,reported_zinc_price_upper_2STD,reported_zinc_price_lower_2STD
41,2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2006.2042,2064.333904257461,405.0727883299193,2469.4066925873803,1659.2611159275418,2874.4794809173,1254.1883275976224
42,2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2138.4814,2082.3860452645285,391.31315448826945,2473.699199752798,1691.072890776259,2865.0123542410674,1299.7597362879897
43,2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1873.927,2084.971852773362,389.5370334327926,2474.508886206155,1695.4348193405694,2864.0459196389475,1305.8977859077768
44,2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,2204.62,2112.529602773362,355.7635016464317,2468.293104419794,1756.7661011269304,2824.0566060662254,1401.0025994804987
45,2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2094.389,2104.8134327733624,352.6345080598046,2457.447940833167,1752.1789247135578,2810.0824488929716,1399.5444166537532
46,2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,2204.62,2121.3480827733624,340.9393832968737,2462.287466070236,1780.4086994764887,2803.22684936711,1439.469316179615
47,2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,2105.915742773362,332.51729498394667,2438.4330377573087,1773.3984477894155,2770.9503327412554,1440.881152805469
48,2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2072.3428,2073.9743127733623,264.3188445828894,2338.293157356252,1809.655468190473,2602.612001939141,1545.3366236075835
49,2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2998.2832,2111.4528527733623,286.10748587049164,2397.560338643854,1825.3453669028706,2683.6678245143457,1539.237881032379
50,"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2094.389,2119.720177773362,280.5244468202563,2400.2446245936185,1839.1957309531058,2680.769071413875,1558.6712841328495
51,2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,1873.927,2122.4759527733627,277.4620299518627,2399.9379827252255,1845.0139228215,2677.400012677088,1567.5518928696374
52,2013-000016057 Tamerlane Ventures Inc-f1-02146900_2-1-1,2013-12-13,OTHER,2094.389,2110.168116937953,267.0659806692922,2377.234097607245,1843.1021362686608,2644.3000782765375,1576.0361555993686
53,2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,2072.3428,2106.8611869379533,266.6851330857533,2373.546320023707,1840.1760538522,2640.23145310946,1573.4909207664468
54,2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,2028.2504,2107.9634969379536,266.2557296070396,2374.219226544993,1841.707767330914,2640.474956152033,1575.4520377238744
55,2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,2006.2042,2122.293526937953,243.44544590213286,2365.738972840086,1878.8480810358203,2609.184418742219,1635.4026351336875
56,2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2037.509804,2118.1157720379533,243.43030414964977,2361.546076187603,1874.6854678883035,2604.976380337253,1631.2551637386537
57,2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,2204.62,2129.138872037953,236.86431599377318,2366.0031880317265,1892.27455604418,2602.8675040254993,1655.4102400504069
58,2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,1895.9732,2115.9111520379533,234.67754505833884,2350.588697096292,1881.2336069796145,2585.266242154631,1646.5560619212756
59,2014-000002470 Fortune Minerals Limited-f1-02236003_2-1-1,2014-04-18,,2204.62,2122.5250120379533,233.3186624582505,2355.8436744962037,1889.2063495797029,2589.162336954454,1655.8876871214522
60,2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014-04-28,,2028.2504,2120.871547037953,233.7571082831017,2354.628655321055,1887.1144387548513,2588.385763604156,1653.3573304717495
61,2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,2204.62,2120.871547037953,233.7571082831017,2354.628655321055,1887.1144387548513,2588.385763604156,1653.3573304717495
62,2014-000000204 GoldQuest Mining Corp-f1-02232713_1-1-1,2014-05-27,,2094.389,2129.138872037953,226.53725841922002,2355.6761304571733,1902.6016136187332,2582.2133888763933,1676.064355199513
63,2014-000001767 Dundee Precious Metals Inc-f1-02266641_3-1-1,2014-09-30,,1873.927,2126.4120470379535,228.9846683568367,2355.39671539479,1897.4273786811168,2584.381383751627,1668.4427103242801
64,2014-000029868 Tahoe Resources Inc-f1-02274600_1-1-1,2014-11-05,,1984.158,2123.6562720379534,230.04080584953226,2353.6970778874856,1893.6154661884211,2583.737883737018,1663.5746603388889
65,2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,2204.62,2123.656272037953,230.04080584953226,2353.697077887485,1893.6154661884207,2583.7378837370175,1663.5746603388884
66,2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,2204.62,2123.6562720379534,230.04080584953226,2353.6970778874856,1893.6154661884211,2583.737883737018,1663.5746603388889
67,2015-000028681 Golden Minerals Company-f1-02327135_1-1-1,2015-02-20,,2094.389,2126.4120470379535,228.9846683568367,2355.39671539479,1897.4273786811168,2584.381383751627,1668.4427103242801
68,2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015-07-09,,2204.62,2120.900497037953,224.2150302108242,2345.115527248777,1896.6854668271287,2569.330557459601,1672.4704366163044
69,2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1358.213379720229,2102.496106530959,254.601887668746,2357.0979941997048,1847.894218862213,2611.699881868451,1593.292331193467
70,2016-000012585 Americas Silver Corporation-f1-02478065_1-1-1,2016-03-18,,1873.927,2101.944951530959,255.08383245614473,2357.0287839871035,1846.861119074814,2612.1126164432485,1591.7772866186695
71,2016-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02500830_2-1-1,2016-04-28,,2204.62,2089.819541530959,237.34226102704795,2327.1618025580074,1852.4772805039113,2564.504063585055,1615.1350194768634
72,2016-000018190 Chesapeake Gold Corp-f1-02451974_1-2-1,2016-04-29,PFS,2204.62,2098.0868665309586,235.38066360562783,2333.4675301365864,1862.7062029253307,2568.8481937422143,1627.3255393197028
73,2016-000033595 Ivanhoe Mines Ltd-f1-02490485_3-1-1,2016-05-12,,2227.0,2098.646366530959,235.66681070363413,2334.313177234593,1862.9795558273247,2569.979987938227,1627.3127451236905
74,2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2226.6662,2104.157916530959,236.0271288891239,2340.185045420083,1868.130787641835,2576.2121743092066,1632.1036587527112
75,2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2204.62,2106.9136915309587,236.55307009832654,2343.4667616292854,1870.3606214326321,2580.0198317276117,1633.8075513343056
76,2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,2645.544,2126.2041165309593,248.23953665807915,2374.4436531890383,1877.9645798728802,2622.6831898471173,1629.725043214801
77,2017-000020943 Strongbow Exploration Inc-f1-02585313_1-2-1,2017-02-16,,1984.158,2123.623769593006,249.18815173661315,2372.811921329619,1874.4356178563926,2622.0000730662323,1625.2474661197796
78,2017-000003827 Arizona Mining Inc-f1-02611788_1-1-1,2017-03-29,,2425.082,2129.6864745930056,253.57072379085545,2383.257198383861,1876.1157508021502,2636.8279221747166,1622.5450270112947
79,2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2358.9434,2122.5214595930056,242.42485593975064,2364.946315532756,1880.096603653255,2607.371171472507,1637.6717477135044
80,2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2358.9434,2126.3795445930054,244.9794544547592,2371.358999047765,1881.4000901382462,2616.338453502524,1636.420635683487
81,2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,2425.082,2136.8514895930057,248.6361242617311,2385.487613854737,1888.2153653312746,2634.123738116468,1639.5792410695435
82,2017-000002068 SOLITARIO ZINC CORP-f1-02657439_1-1-1,2017-07-13,,2645.544,2149.5280545930054,261.3237784796404,2410.8518330726456,1888.204276113365,2672.1756115522862,1626.8804976337246
83,2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2766.93,2171.8531295930056,274.96421364846873,2446.817343241474,1896.8889159445368,2721.781556889943,1621.924702296068
84,2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017-07-26,,2338.0,2175.187629593006,276.1778408759555,2451.3654704689616,1899.0097887170505,2727.543311344917,1622.831947841095
85,2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,2336.8972,2181.2503345930054,277.01916543832533,2458.2695000313306,1904.2311691546802,2735.288665469656,1627.2120037163547
86,2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,2755.775,2195.029209593006,291.53806352335056,2486.5672731163563,1903.4911460696553,2778.105336639707,1611.9530825463048
87,2017-000043356 Titan Mining Corporation-f1-02662712_1-2-1,2017-08-17,,2314.851,2203.2965345930056,290.0901674479743,2493.38670204098,1913.2063671450314,2783.4768694889544,1623.116199697057
88,2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02728178_1-1-1,2017-08-31,,2535.313,2214.8707895930056,293.94170982832,2508.812499421326,1920.9290797646856,2802.7542092496456,1626.9873699363657
89,2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1944.0,2188.5137095930054,268.0181574180568,2456.5318670110623,1920.4955521749487,2724.550024429119,1652.477394756892
90,2017-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02687669_1-1-1,2017-10-05,,2425.082,2196.7810345930056,270.13229067221647,2466.9133252652223,1926.6487439207892,2737.0456159374385,1656.5164532485728
91,2017-000013727 MAG Silver Corp-f1-02710844_1-1-1,2017-10-21,,2204.62,2205.0483595930054,265.0098933474178,2470.0582529404232,1940.0384662455876,2735.068146287841,1675.0285728981698
92,2017-000004947 Yorbeau Resources Inc-f1-02711026_2-1-1,2017-12-06,,2866.006,2224.3387845930056,284.14126984734474,2508.48005444035,1940.1975147456608,2792.621324287695,1656.056244898316
93,2018-000003827 Arizona Mining Inc-f1-02718639_1-1-1,2018-01-01,,2425.082,2233.1572645930055,284.7760534267426,2517.933318019748,1948.3812111662628,2802.709371446491,1663.6051577395203
94,2018-000031478 Lupaka Gold Corp-f1-02756702_1-1-1,2018-03-01,,2755.775,2251.3453795930054,294.4228947306567,2545.768274323662,1956.9224848623487,2840.191169054319,1662.499590131692
95,2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018-03-30,,2954.7,2275.057774593006,311.85266137136676,2586.9104359643725,1963.205113221639,2898.7630973357395,1651.3524518502722
96,2018-000003353 Excellon Resources Inc-f1-02820544_1-1-1,2018-03-31,,2866.006,2295.770179493006,322.98534665026676,2618.7555261432726,1972.784832842739,2941.7408727935394,1649.7994861924722
97,2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2755.775,2309.5490544930058,330.6622576098615,2640.2113121028674,1978.8867968831441,2970.8735697127286,1648.2245392732827
98,2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,1873.927,2308.9978994930057,331.38687019493113,2640.3847696879366,1977.6110292980745,2971.771639882868,1646.2241591031434
99,2018-000003467 Aurcana Corporation-f1-02825402_2-1-1,2018-06-15,,2645.544,2320.0209994930055,335.1379828455501,2655.1589823385557,1984.8830166474554,2990.296965184106,1649.7450338019053
100,2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018-07-13,,3306.93,2351.9879894930054,366.1429239242577,2718.130913417263,1985.8450655687477,3084.273837341521,1619.70214164449
101,2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2645.544,2363.011089493006,368.2238187286597,2731.2349082216656,1994.787270764346,3099.4587269503254,1626.5634520356864
102,"2018-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-02832441_1-1-1",2018-10-15,,2226.6662,2366.3180194930055,366.3386802404346,2732.6566997334403,1999.979339252571,3098.9953799738746,1633.6406590121364
103,2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018-10-22,,2667.5902,2386.1595994930058,360.43156453333836,2746.591164026344,2025.7280349596674,3107.0227285596825,1665.296470426329
104,2019-000007910 ABCOURT MINES INC-f1-02872804_2-1-1,2019-01-15,FS,2425.082,2397.1826994930057,354.5157373704031,2751.698436863409,2042.6669621226026,3106.2141742338117,1688.1512247521996
105,2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2072.3428,2393.8757694930055,356.9664944886658,2750.8422639816713,2036.9092750043396,3107.808758470337,1679.9427805156738
106,2019-000032588 Toachi Mining Inc-f1-02930919_1-1-1,2019-03-30,,2667.5902,2405.4500244930055,358.17634094662895,2763.6263654396344,2047.2736835463766,3121.8027063862633,1689.0973425997477
107,2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019-04-03,,1984.158,2402.6942494930054,361.0435585075314,2763.737808000537,2041.650690985474,3124.781366508068,1680.6071324779427
108,2019-000031610 Nevada Zinc Corporation-f1-02970403_1-1-1,2019-06-27,PEA,2500.0,2410.0787494930055,359.9073727563581,2769.9861222493637,2050.1713767366473,3129.893495005722,1690.2640039802893
109,2019-000008916 Tinka Resources Limited-f1-02937617_2-2-1,2019-07-02,,2645.544,2442.2620150000002,318.6265391481805,2760.888554148181,2123.6354758518196,3079.515093296361,1805.0089367036394
110,2020-000026264 Ascendant Resources Inc-f1-03022181_1-1-1,2019-12-19,,2645.544,2461.55244,306.4614437126654,2768.013883712665,2155.0909962873347,3074.4753274253308,1848.629552574669
111,"2020-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-03026212_1-1-1",2019-12-31,,2667.5902,2473.126695,305.24915369734464,2778.3758486973447,2167.877541302655,3083.625002394689,1862.6283876053108
112,2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2500.0,2480.511195,302.14404287447024,2782.6552378744705,2178.3671521255296,3084.7992807489404,1876.2231092510597
113,2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,2645.544,2490.974795,300.38173605555005,2791.35653105555,2190.59305894445,3091.7382671111,1890.2113228889
114,2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2204.62,2490.42364,300.89891782701824,2791.322557827018,2189.524722172982,3092.2214756540366,1888.6258043459634
115,2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2425.082,2495.93519,297.5298697857331,2793.4650597857335,2198.405320214267,3090.9949295714664,1900.875450428534
116,2021-000008433 Metallum Resources Inc-f1-03288400_1-1-1,2020-10-15,,2700.0,2497.29659,298.3554250849066,2795.6520150849065,2198.9411649150934,3094.007440169813,1900.5857398301869
117,2021-000031923 Rokmaster Resources Corp-f1-03163135_1-1-1,2020-12-08,,2358.9434,2506.666225,287.51549423848786,2794.181719238488,2219.150730761512,3081.697213476976,1931.635236523024
118,2021-000031522 Rockcliff Metals Corporation-f1-03163342_1-1-1,2021-01-12,,2425.082,2506.666225,287.51549423848786,2794.181719238488,2219.150730761512,3081.697213476976,1931.635236523024
119,2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,2535.313,2511.075465,286.54270574709085,2797.6181707470905,2224.5327592529093,3084.1608764941816,1937.9900535058182
120,2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,2535.313,2515.484705,285.49676918843295,2800.981474188433,2229.987935811567,3086.478243376866,1944.491166623134
121,2021-000003353 Excellon Resources Inc-f1-03239357_1-1-1,2021-03-31,,2425.082,2515.484705,285.49676918843295,2800.981474188433,2229.987935811567,3086.478243376866,1944.491166623134
122,2021-000008301 Trevali Mining Corporation-f1-03263578_1-1-1,2021-03-31,,2579.4054,2513.8312400000004,284.9151416914561,2798.7463816914565,2228.9160983085444,3083.6615233829125,1944.0009566170884
123,2021-000045902 NorZinc Ltd-f1-03299714_1-1-1,2021-10-15,,2645.544,2510.79659,282.7887580475891,2793.585348047589,2228.007831952411,3076.374106095178,1945.2190739048217
124,2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2645.544,2518.48519,282.15032389251974,2800.6355138925196,2236.33486610748,3082.7858377850393,1954.1845422149604
125,2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,2515.0,2522.93776,280.61234958689334,2803.550109586893,2242.3254104131065,3084.1624591737864,1961.7130608262132
126,2021-000037111 Kutcho Copper Corp. ( Desert Star Resources Ltd.)-f1-03321014_1-1-1,2021-11-08,FS,2535.313,2517.42621,278.0754932445383,2795.5017032445385,2239.3507167554617,3073.5771964890764,1961.2752235109235
127,2022-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-03358989_1-1-1,2022-01-26,,2799.8674,2529.5516199999997,279.58616419583547,2809.137784195835,2249.9654558041643,3088.7239483916705,1970.379291608329
128,2022-000031522 Rockcliff Metals Corporation-f1-03340402_1-1-1,2022-02-01,,2755.775,2535.0631700000004,281.86636413528265,2816.929534135283,2253.1968058647176,3098.795898270566,1971.330441729435
129,2023-000003353 Excellon Resources Inc-f1-03481561_1-1-1,2022-03-31,,2601.4516,2551.49946,265.1918961495212,2816.691356149521,2286.307563850479,3081.8832522990424,2021.1156677009576
130,2022-000025996 Verde AgriTech Plc-f1-03390486_1-1-1,2022-05-12,PFS,17.14,2491.30091,480.5121416050848,2971.8130516050846,2010.7887683949152,3452.3251932101693,1530.2766267898303
131,2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,3020.3294,2511.6936450000003,485.318702171199,2997.0123471711995,2026.3749428288013,3482.3310493423983,1541.0562406576023
132,2022-000032649 Bunker Hill Mining Corp-f1-03446457_1-1-1,2022-08-29,,2755.775,2508.9378699999997,483.5650237486246,2992.5028937486245,2025.3728462513752,3476.067917497249,1541.8078225027507
133,2022-000007638 Southern Silver Exploration Corp-f1-03445449_1-1-1,2022-10-13,,2932.1446,2521.614435,487.9369040994262,3009.551339099426,2033.6775309005739,3497.4882431988526,1545.7406268011475
134,2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2645.544,2518.8586600000003,486.890659761304,3005.7493197613044,2031.9680002386963,3492.6399795226084,1545.0773404773922
135,2023-000029200 Silver X Mining Corp-f1-03516759_1-1-1,2022-10-31,,2755.78,2513.88566,483.3277511565407,2997.2134111565406,2030.5579088434592,3480.5411623130813,1547.2301576869186
136,2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2535.313,2505.618335,479.96686149056575,2985.585196490566,2025.6514735094343,3465.552057981132,1545.6846120188686
137,2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2800.0,2506.7239600000003,480.6083924385861,2987.3323524385864,2026.115567561414,3467.9407448771726,1545.507175122828
138,2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,3086.468,2537.037485,477.90427686066613,3014.941761860666,2059.133208139334,3492.846038721332,1581.2289312786675
139,2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023-07-24,,2645.544,2537.037485,477.90427686066613,3014.941761860666,2059.133208139334,3492.846038721332,1581.2289312786675
140,2023-000053453 Gold Resource Corporation-f1-06050160_2-1-1,2023-09-30,PEA,2755.775,2523.25861,462.8458439661192,2986.104453966119,2060.412766033881,3448.9502979322383,1597.5669220677614
141,2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,,2645.544,2523.25861,462.8458439661192,2986.104453966119,2060.412766033881,3448.9502979322383,1597.5669220677614
142,2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,3086.468,2544.753655,468.6472900594926,3013.4009450594926,2076.1063649405073,3482.0482351189853,1607.4590748810147
143,2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-02-16,FS,2645.544,2544.2025,468.51206761976283,3012.714567619763,2075.690432380237,3481.2266352395254,1607.1783647604743
